nl_query,action,time,user,source,src_ip,hostname,severity,status_code,structured_query,event_ts
show me auth success events by user root last 24 hours in secure shell,success,last24h,root,ssh,*,*,*,*,action=success user=root source=ssh earliest=-24h latest=now,2025-10-03T15:08:39
list connection events by user jsmith with status 403 past week in ssh,access,last7d,jsmith,ssh,*,*,*,403,action=access user=jsmith source=ssh status_code=403 earliest=-7d@d latest=now,2025-09-28T12:08:39
show me failed login events on firewall-01 last 7 days in server,failure,last7d,*,host,*,firewall-01,*,*,action=failure source=host hostname=firewall-01 earliest=-7d@d latest=now,2025-10-04T12:08:39
give me sign off events by user anonymous from ip 192.168.0.1 this week in auth log,logout,last7d,anonymous,auth,192.168.0.1,*,*,*,action=logout user=anonymous source=auth src_ip=192.168.0.1 earliest=-7d@d latest=now,2025-10-03T12:08:39
show me service restart events by user root from ip 10.0.0.1 with status 503 last 30 days in secure shell,restart,last30d,root,ssh,10.0.0.1,*,*,503,action=restart user=root source=ssh src_ip=10.0.0.1 status_code=503 earliest=-30d@d latest=now,2025-09-10T12:08:39
show me restart events by user root the previous day in secure shell,restart,yesterday,root,ssh,*,*,*,*,action=restart user=root source=ssh earliest=@d-1d latest=@d,2025-10-03T04:37:39
show me info upload events with status 500 last 7 days in security log,upload,last7d,*,auth,*,*,info,500,action=upload source=auth severity=info status_code=500 earliest=-7d@d latest=now,2025-10-01T12:08:39
find logout events by user jsmith from ip 10.0.0.1 on app-server-03 past week in filesystem,logout,last7d,jsmith,filesystem,10.0.0.1,app-server-03,*,*,action=logout user=jsmith source=filesystem src_ip=10.0.0.1 hostname=app-server-03 earliest=-7d@d latest=now,2025-10-04T12:08:39
find critical access events by user bob on app-server-03 with status 200 the previous day in database,access,yesterday,bob,database,*,app-server-03,critical,200,action=access user=bob source=database hostname=app-server-03 severity=critical status_code=200 earliest=@d-1d latest=@d,2025-10-03T00:34:39
give me file upload events by user jsmith from ip 192.168.0.1 with status 403 since yesterday in database,upload,last24h,jsmith,database,192.168.0.1,*,*,403,action=upload user=jsmith source=database src_ip=192.168.0.1 status_code=403 earliest=-24h latest=now,2025-10-04T11:08:39
list err auth failure events by user alice on app-server-03 last 30 days in security log,failure,last30d,alice,auth,*,app-server-03,error,*,action=failure user=alice source=auth hostname=app-server-03 severity=error earliest=-30d@d latest=now,2025-09-18T12:08:39
pull up logout events from ip 172.16.0.50 on web-server-01 with status 404 last 7 days in filesystem,logout,last7d,*,filesystem,172.16.0.50,web-server-01,*,404,action=logout source=filesystem src_ip=172.16.0.50 hostname=web-server-01 status_code=404 earliest=-7d@d latest=now,2025-10-02T12:08:39
pull up restart events by user alice this month in machine,restart,last30d,alice,host,*,*,*,*,action=restart user=alice source=host earliest=-30d@d latest=now,2025-09-20T12:08:39
find login events by user anonymous yesterday in db,login,yesterday,anonymous,database,*,*,*,*,action=login user=anonymous source=database earliest=@d-1d latest=@d,2025-10-03T12:26:39
show me download events with status 502 this week in database,download,last7d,*,database,*,*,*,502,action=download source=database status_code=502 earliest=-7d@d latest=now,2025-09-28T12:08:39
pull up auth success events by user bob from ip 172.16.0.50 since yesterday in host,success,last24h,bob,host,172.16.0.50,*,*,*,action=success user=bob source=host src_ip=172.16.0.50 earliest=-24h latest=now,2025-10-03T20:08:39
display error events by user anonymous last 7 days in security log,error,last7d,anonymous,auth,*,*,*,*,action=error user=anonymous source=auth earliest=-7d@d latest=now,2025-09-28T12:08:39
give me failure events by user admin on db-prod-02 since yesterday in file system,error,last24h,admin,filesystem,*,db-prod-02,*,*,action=error user=admin source=filesystem hostname=db-prod-02 earliest=-24h latest=now,2025-10-03T20:08:39
show me download events by user alice on load-balancer in the last 24 hours in apache,download,today,alice,web,*,load-balancer,*,*,action=download user=alice source=web hostname=load-balancer earliest=@d latest=now,2025-10-04T07:50:39
list emergency failed login events from ip 192.168.0.1 with status 502 last 24 hours in host,failure,last24h,*,host,192.168.0.1,*,critical,502,action=failure source=host src_ip=192.168.0.1 severity=critical status_code=502 earliest=-24h latest=now,2025-10-03T17:08:39
display crash events by user anonymous since yesterday in authentication log,error,last24h,anonymous,auth,*,*,*,*,action=error user=anonymous source=auth earliest=-24h latest=now,2025-10-03T20:08:39
list login events by user root on db-prod-02 yesterday in file system,login,yesterday,root,filesystem,*,db-prod-02,*,*,action=login user=root source=filesystem hostname=db-prod-02 earliest=@d-1d latest=@d,2025-10-03T17:19:39
find restart events by user jsmith from ip 10.10.10.5 with status 502 last 7 days in file system,restart,last7d,jsmith,filesystem,10.10.10.5,*,*,502,action=restart user=jsmith source=filesystem src_ip=10.10.10.5 status_code=502 earliest=-7d@d latest=now,2025-10-04T12:08:39
list service restart events by user anonymous with status 503 this month in filesystem,restart,last30d,anonymous,filesystem,*,*,*,503,action=restart user=anonymous source=filesystem status_code=503 earliest=-30d@d latest=now,2025-09-25T12:08:39
list file download events by user admin last 24 hours in secure shell,download,last24h,admin,ssh,*,*,*,*,action=download user=admin source=ssh earliest=-24h latest=now,2025-10-03T14:08:39
pull up emergency request events by user jsmith from ip 192.168.1.100 last hour in ssh,access,last1h,jsmith,ssh,192.168.1.100,*,critical,*,action=access user=jsmith source=ssh src_ip=192.168.1.100 severity=critical earliest=-60m latest=now,2025-10-04T11:26:39
find file download events by user bob last 24 hours in apache,download,last24h,bob,web,*,*,*,*,action=download user=bob source=web earliest=-24h latest=now,2025-10-03T19:08:39
list file deletion events by user jsmith this week in database,deletion,last7d,jsmith,database,*,*,*,*,action=deletion user=jsmith source=database earliest=-7d@d latest=now,2025-10-03T12:08:39
show me failure events past 60 minutes in security log,error,last1h,*,auth,*,*,*,*,action=error source=auth earliest=-60m latest=now,2025-10-04T11:10:39
give me login failure events from ip 172.16.0.50 last 30 days in filesystem,failure,last30d,*,filesystem,172.16.0.50,*,*,*,action=failure source=filesystem src_ip=172.16.0.50 earliest=-30d@d latest=now,2025-09-10T12:08:39
show me successful login events by user root on load-balancer last 30 days in auth log,success,last30d,root,auth,*,load-balancer,*,*,action=success user=root source=auth hostname=load-balancer earliest=-30d@d latest=now,2025-09-26T12:08:39
pull up upload events by user bob last 30 days in ssh,upload,last30d,bob,ssh,*,*,*,*,action=upload user=bob source=ssh earliest=-30d@d latest=now,2025-10-02T12:08:39
find successful login events by user jsmith on db-prod-02 since midnight in auth log,success,today,jsmith,auth,*,db-prod-02,*,*,action=success user=jsmith source=auth hostname=db-prod-02 earliest=@d latest=now,2025-10-04T09:28:39
give me critical upload events by user alice today in nginx,upload,today,alice,web,*,*,critical,*,action=upload user=alice source=web severity=critical earliest=@d latest=now,2025-10-04T06:50:39
show me service restart events by user root on firewall-01 yesterday in security log,restart,yesterday,root,auth,*,firewall-01,*,*,action=restart user=root source=auth hostname=firewall-01 earliest=@d-1d latest=@d,2025-10-03T13:59:39
list file upload events by user root last 30 days in auth log,upload,last30d,root,auth,*,*,*,*,action=upload user=root source=auth earliest=-30d@d latest=now,2025-09-13T12:08:39
pull up authentication events by user jsmith on web-server-01 in the last 24 hours in file system,login,today,jsmith,filesystem,*,web-server-01,*,*,action=login user=jsmith source=filesystem hostname=web-server-01 earliest=@d latest=now,2025-10-04T08:21:39
give me informational failed login events by user bob today in web server,failure,today,bob,web,*,*,info,*,action=failure user=bob source=web severity=info earliest=@d latest=now,2025-10-04T10:35:39
give me connection events last 30 days in db,access,last30d,*,database,*,*,*,*,action=access source=database earliest=-30d@d latest=now,2025-09-13T12:08:39
pull up login failure events by user jsmith from ip 10.0.0.1 past 60 minutes in server,failure,last1h,jsmith,host,10.0.0.1,*,*,*,action=failure user=jsmith source=host src_ip=10.0.0.1 earliest=-60m latest=now,2025-10-04T11:22:39
list sign off events on web-server-01 this week in nginx,logout,last7d,*,web,*,web-server-01,*,*,action=logout source=web hostname=web-server-01 earliest=-7d@d latest=now,2025-10-01T12:08:39
display info upload events by user anonymous since midnight in database,upload,today,anonymous,database,*,*,info,*,action=upload user=anonymous source=database severity=info earliest=@d latest=now,2025-10-04T11:16:39
find successful login events by user admin the previous day in filesystem,success,yesterday,admin,filesystem,*,*,*,*,action=success user=admin source=filesystem earliest=@d-1d latest=@d,2025-10-03T05:56:39
pull up download events by user root last hour in db,download,last1h,root,database,*,*,*,*,action=download user=root source=database earliest=-60m latest=now,2025-10-04T11:38:39
pull up warn file deletion events by user alice from ip 192.168.0.1 the previous day in secure shell,deletion,yesterday,alice,ssh,192.168.0.1,*,warning,*,action=deletion user=alice source=ssh src_ip=192.168.0.1 severity=warning earliest=@d-1d latest=@d,2025-10-03T05:58:39
give me login failure events by user admin on web-server-01 the previous day in filesystem,failure,yesterday,admin,filesystem,*,web-server-01,*,*,action=failure user=admin source=filesystem hostname=web-server-01 earliest=@d-1d latest=@d,2025-10-03T09:55:39
