nl_query,action,time,user,source,src_ip,hostname,severity,status_code,structured_query,event_ts
find crit logout events on firewall-01 yesterday in network security,logout,yesterday,*,firewall,*,firewall-01,critical,*,action=logout source=firewall hostname=firewall-01 severity=critical earliest=@d-1d latest=@d,2025-10-03T10:49:26
pull up successful login events by user alice on load-balancer the previous day in firewall logs,success,yesterday,alice,firewall,*,load-balancer,*,*,action=success user=alice source=firewall hostname=load-balancer earliest=@d-1d latest=@d,2025-10-03T08:52:26
give me authentication events by user anonymous on firewall-01 past 60 minutes in secure shell,login,last1h,anonymous,ssh,*,firewall-01,*,*,action=login user=anonymous source=ssh hostname=firewall-01 earliest=-60m latest=now,2025-10-04T11:36:26
find informational login failure events by user bob from ip 10.0.0.1 on load-balancer last 30 days in db,failure,last30d,bob,database,10.0.0.1,load-balancer,info,*,action=failure user=bob source=database src_ip=10.0.0.1 hostname=load-balancer severity=info earliest=-30d@d latest=now,2025-09-16T12:23:26
pull up file deletion events by user anonymous past 60 minutes in machine,deletion,last1h,anonymous,host,*,*,*,*,action=deletion user=anonymous source=host earliest=-60m latest=now,2025-10-04T11:49:26
show me upload events by user alice from ip 172.16.0.50 on web-server-01 the previous day in firewall,upload,yesterday,alice,firewall,172.16.0.50,web-server-01,*,*,action=upload user=alice source=firewall src_ip=172.16.0.50 hostname=web-server-01 earliest=@d-1d latest=@d,2025-10-03T21:56:26
give me download events by user jsmith with status 502 this month in authentication log,download,last30d,jsmith,auth,*,*,*,502,action=download user=jsmith source=auth status_code=502 earliest=-30d@d latest=now,2025-09-23T12:23:26
show me file upload events by user root this week in secure shell,upload,last7d,root,ssh,*,*,*,*,action=upload user=root source=ssh earliest=-7d@d latest=now,2025-10-03T12:23:26
show me warn sign off events on load-balancer with status 403 this month in host,logout,last30d,*,host,*,load-balancer,warning,403,action=logout source=host hostname=load-balancer severity=warning status_code=403 earliest=-30d@d latest=now,2025-09-07T12:23:26
give me file download events by user alice last 24 hours in server,download,last24h,alice,host,*,*,*,*,action=download user=alice source=host earliest=-24h latest=now,2025-10-04T05:23:26
pull up login failure events from ip 192.168.1.100 with status 403 the previous day in firewall logs,failure,yesterday,*,firewall,192.168.1.100,*,*,403,action=failure source=firewall src_ip=192.168.1.100 status_code=403 earliest=@d-1d latest=@d,2025-10-03T18:57:26
pull up failed login events by user alice the previous day in web server,failure,yesterday,alice,web,*,*,*,*,action=failure user=alice source=web earliest=@d-1d latest=@d,2025-10-03T13:06:26
pull up file deletion events by user jsmith on web-server-01 with status 502 last 30 days in event viewer,deletion,last30d,jsmith,windows,*,web-server-01,*,502,action=deletion user=jsmith source=windows hostname=web-server-01 status_code=502 earliest=-30d@d latest=now,2025-09-19T12:23:26
show me login events by user jsmith in the last 24 hours in file system,login,today,jsmith,filesystem,*,*,*,*,action=login user=jsmith source=filesystem earliest=@d latest=now,2025-10-04T10:58:26
pull up file upload events by user bob last 24 hours in server,upload,last24h,bob,host,*,*,*,*,action=upload user=bob source=host earliest=-24h latest=now,2025-10-03T20:23:26
pull up error file download events since yesterday in event viewer,download,last24h,*,windows,*,*,error,*,action=download source=windows severity=error earliest=-24h latest=now,2025-10-03T15:23:26
pull up upload events from ip 10.10.10.5 last 24 hours in web server,upload,last24h,*,web,10.10.10.5,*,*,*,action=upload source=web src_ip=10.10.10.5 earliest=-24h latest=now,2025-10-04T00:23:26
find error events by user anonymous on firewall-01 the previous day in db,error,yesterday,anonymous,database,*,firewall-01,*,*,action=error user=anonymous source=database hostname=firewall-01 earliest=@d-1d latest=@d,2025-10-03T23:37:26
find download events by user root since midnight in secure shell,download,today,root,ssh,*,*,*,*,action=download user=root source=ssh earliest=@d latest=now,2025-10-04T06:35:26
find auth success events by user anonymous since yesterday in machine,success,last24h,anonymous,host,*,*,*,*,action=success user=anonymous source=host earliest=-24h latest=now,2025-10-03T23:23:26
